"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_hrp_crafted_shovel0","Crafted shovel","Crafted shovel","Vytvořená lopata","Handgefertigte Schaufel","Ремесленная лопата","Wytworzona łopata","Kézműves lapát","Pala artigianale","Pala artesanal","Pelle artisanale","精工鏟","細工されたシャベル","Pá artesanal","精工铲"
"STR_hrp_crafted_shovel1","A shovel made at the crafting table. May be less durable.","A shovel made at the crafting table. May be less durable.","Lopata vyrobená u řemeslného stolu. Může být méně trvanlivý.","Лопата, сделанная на верстаке. Может быть менее прочным.","A kézműves asztalnál készített lapát. Lehet kevésbé tartós.","Łopata wykonana przy stole rzemieślniczym. Może być mniej wytrzymała.","A kézműves asztalnál készített lapát. Lehet kevésbé tartós.","Una pala realizzata al tavolo da lavoro. Potrebbe essere meno resistente.","Una pala hecha en la mesa de trabajo. Puede ser menos duradero.","Une pelle fabriquée à la table d'artisanat. Peut être moins durable.","在工作台製作的鐵鍬。 可能不太耐用。","クラフトテーブルで作られたシャベル。 耐久性が低下する可能性があります。","Uma pá feita na mesa de trabalho. Pode ser menos durável.","在工作台制作的铁锹。 可能不太耐用。"
"STR_hrp_crafted_woodaxe0","Crafted woodaxe","Crafted woodaxe","Vyrobená dřevěná sekera","Handgefertigte Holzaxt","Изготовленный деревянный топор","Wytworzona drewniana siekiera","Faragott fa fejsze","Ascia di legno artigianale","Hacha de madera artesanal","Hache en bois fabriquée","手工木斧","細工された木の斧","Machado de madeira artesanal","手工木斧"
"STR_hrp_crafted_woodaxe1","Wooden ax made at the craft table. May be less durable","Wooden ax made at the craft table. May be less durable","Dřevěná sekera vyrobená u řemeslného stolu. Může být méně trvanlivý","Деревянный топор, сделанный за ремесленным столом. Может быть менее прочным","Fa kéziszekrény a kézműves asztalnál. Lehet kevésbé tartós","Drewniana siekiera wykonana przy stole rzemieślniczym. Może być mniej wytrzymała.","Fa kéziszekrény a kézműves asztalnál. Lehet kevésbé tartós","Ascia di legno realizzata al tavolo artigianale. Potrebbe essere meno resistente","Hacha de madera hecha en la mesa de manualidades. Puede ser menos duradero","Hache en bois fabriquée à la table d'artisanat. Peut être moins durable","在工藝台製作的木斧。 可能不太耐用","クラフトテーブルで作られた木製の斧。 耐久性が低下する可能性があります","Machado de madeira feito na mesa do artesanato. Pode ser menos durável","在工艺台制作的木斧。 可能不太耐用"
"STR_hrp_crafted_pickaxe0","Crafted pickaxe","Crafted pickaxe","Vyrobený krumpáč","Handgefertigte Spitzhacke","Изготовленная кирка","Wytworzony kilof","Kézműves csákány","Piccone artigianale","Pico hecho a mano","Pioche artisanale","手工鎬","細工されたツルハシ","Picareta artesanal","手工镐"
"STR_hrp_crafted_pickaxe1","A pickaxe made at a crafting table. May be less durable.","A pickaxe made at a crafting table. May be less durable.","Krumpáč vyrobený u řemeslného stolu. Může být méně trvanlivý.","Eine Spitzhacke, die an einem Basteltisch hergestellt wurde. Kann weniger haltbar sein.","Кирка, сделанная за верстаком. Может быть менее прочным.","Kilof wykonany przy stole rzemieślniczym. Może być mniej wytrzymały.","Kézműves asztalnál készült csákány. Lehet kevésbé tartós.","Un piccone realizzato a un tavolo da lavoro. Potrebbe essere meno resistente.","Un pico hecho en una mesa de trabajo. Puede ser menos duradero.","Une pioche fabriquée à une table d'artisanat. Peut être moins durable.","在工作台製作的鎬。 可能不太耐用。","クラフトテーブルで作られたつるはし。 耐久性が低下する可能性があります。","Uma picareta feita em uma mesa de artesanato. Pode ser menos durável.","在工作台制作的镐。 可能不太耐用。"
"STR_hrp_jar0","Jar","Jar","Sklenice","Krug","Банка","Słoik","Befőttes üveg","Barattolo","Frasco","Pot","罐","ジャー","Jar","罐"
"STR_hrp_jar1","A type of glass vessel, less often ceramic or plastic, tightly closed, most often used in the household for storing food products and preparations.","A type of glass vessel, less often ceramic or plastic, tightly closed, most often used in the household for storing food products and preparations.","Typ skleněné nádoby, méně často keramické nebo plastové, těsně uzavřené, nejčastěji používané v domácnosti pro skladování potravinářských výrobků a přípravků.","Eine Art Glasgefäß, seltener aus Keramik oder Kunststoff, fest verschlossen, das am häufigsten im Haushalt zum Aufbewahren von Lebensmitteln und Zubereitungen verwendet wird.","Стеклянный сосуд, реже керамический или пластиковый, плотно закрытый, чаще всего используемый в домашнем хозяйстве для хранения пищевых продуктов и готовых блюд.","Rodzaj naczynia szklanego, rzadziej ceramicznego lub plastikowego, szczelnie zamykanego, wykorzystywanego najczęściej w gospodarstwie domowym do przechowywania produktów i przetworów żywnościowych.","Egy üveg edénytípus, ritkábban kerámia vagy műanyag, szorosan lezárva, leggyakrabban a háztartásban használják élelmiszerek és készítmények tárolására.","Un tipo di recipiente di vetro, meno spesso in ceramica o plastica, ben chiuso, più spesso utilizzato in casa per conservare prodotti e preparati alimentari.","Un tipo de recipiente de vidrio, con menos frecuencia de cerámica o plástico, bien cerrado, que se usa con mayor frecuencia en el hogar para almacenar productos y preparaciones alimenticias.","Type de récipient en verre, moins souvent en céramique ou en plastique, bien fermé, le plus souvent utilisé dans le ménage pour stocker des produits et préparations alimentaires.","一種玻璃容器，較少使用陶瓷或塑料，密閉，最常用於家庭儲存食品和製劑。","ガラス容器の一種で、セラミックやプラスチックの場合は少なく、しっかりと閉じられており、家庭で食品や調製品を保管するために最もよく使用されます。","Um tipo de recipiente de vidro, menos frequentemente de cerâmica ou plástico, hermeticamente fechado, mais frequentemente usado em casa para armazenar produtos alimentícios e preparações.","一种玻璃容器，较少使用陶瓷或塑料，密闭，最常用于家庭储存食品和制剂。"
"STR_hrp_can_empty0","An empty canned food","An empty canned food","Prázdné konzervy","Eine leere Konserve","Пустые консервы","Pusta puszka po konserwie","Egy üres konzerv","Un cibo in scatola vuoto","Una comida enlatada vacía","Une nourriture en conserve vide","空罐頭","空の缶詰食品","Uma comida enlatada vazia","空罐头"
"STR_hrp_can_empty1","The can is reusable.","The can is reusable.","Plechovka je opakovaně použitelná.","Die Dose ist wiederverwendbar.","Банка многоразовая.","Puszka nadaje się do ponownego użycia.","A doboz újra felhasználható.","La lattina è riutilizzabile.","La lata es reutilizable.","La canette est réutilisable.","該罐可重複使用。","缶は再利用可能です。","A lata é reutilizável.","罐子是可重复使用的。"